Campaign,App asset,App asset type,Conversions,Currency code,Cost,Installs,In-app actions,View-through conv.,Conv. rate,Conv. rate (install),Conv. rate (in-app action),Installs per (1000) impressions,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%
IOS English EU,Use SLYNUMBER for travel,Headline,6,USD,21.25,4,2,0,16.67%,11.11%,5.56%,4.24,0,0,0,0
IOS English SEA,Use SLYNUMBER for travel,Headline,2,USD,9.8,1,1,0,0.93%,0.47%,0.47%,0.24,0,0,0,0
iOS Brazil,SLYNUMBER para privacidade,Headline,0,USD,6.06,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Colombia venzuela,Utilice SLYNUMBER para vender en línea;https://www.youtube.com/watch?v=EjrSHOr-qqY,YouTube video,5,USD,9.65,5,0,0,0.41%,0.41%,0.00%,0.92,60.35%,41.36%,27.48%,19.80%
iOS Dominica republic,activar cuentas financieras,Headline,0,USD,0.86,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
Android Video Only,Best second phone number app,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Mexico,Utilice SLYNUMBER para la privacidad;https://www.youtube.com/watch?v=_T7S1P9qjPQ,YouTube video,1,USD,1.64,1,0,0,0.70%,0.70%,0.00%,1.9,52.75%,40.68%,27.54%,23.09%
iOS Mexico,Utilice SLYNUMBER para citas;https://www.youtube.com/watch?v=kT2L4Ohr_jY,YouTube video,0,USD,2.03,0,0,0,0.00%,0.00%,0.00%,0,52.48%,38.20%,23.91%,18.63%
IOS English SEA,Use SLYNUMBER for Travel;https://www.youtube.com/watch?v=waJjb7qDSiI,YouTube video,130,USD,393.06,100,30,0,0.12%,0.09%,0.03%,0.14,42.40%,27.47%,13.57%,10.04%
iOS Video Only,Use SLYNUMBER for Travel;https://www.youtube.com/watch?v=waJjb7qDSiI,YouTube video,69,USD,374.07,54,15,0,0.67%,0.53%,0.15%,1.11,53.51%,28.03%,17.41%,14.69%
iOS Spanish,Utilice SLYNUMBER para vender en línea;https://www.youtube.com/watch?v=cVHrKxd71Hw,YouTube video,455,USD,1359.93,353,102,0,0.13%,0.10%,0.03%,0.11,29.26%,15.08%,9.18%,6.82%
iOS Dominica republic,Utilice SLYNUMBER para cuentas financieras;https://www.youtube.com/watch?v=MoO7GXr4KP4,YouTube video,1,USD,6.15,1,0,0,0.06%,0.06%,0.00%,0.14,51.26%,37.66%,23.97%,20.52%
IOS English EU,Use SLYNUMBER for Financial Accounts;https://www.youtube.com/watch?v=YDQRc-oFT98,YouTube video,95,USD,474.31,73,22,0,0.76%,0.58%,0.18%,0.79,34.34%,22.00%,10.97%,7.63%
IOS English SEA,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=9DM-0s3JQM8,YouTube video,2,USD,8.27,1,1,0,0.08%,0.04%,0.04%,0.11,37.29%,29.75%,17.97%,4.16%
Android Video Only,Use SLYNUMBER for Privacy;https://www.youtube.com/watch?v=xoxwsWk3-2Y,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English India,SLYNUMBER is the easiest way to add a second mobile number to your phone for dating app,Description,0,USD,0,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Brazil,Use SLYNUMBER para contas financeiras;https://www.youtube.com/watch?v=t4Y-Bbqt8L8,YouTube video,0,USD,0.04,0,0,0,0.00%,0.00%,0.00%,0,54.35%,43.48%,28.26%,21.74%
IOS English India,Solo Female Travel Hack 🌍📶 | Global Data + Work Number in SLYNUMBER #Shorts;https://www.youtube.com/watch?v=bIBxAwpZSsA,YouTube video,0,USD,23.76,0,0,0,0.00%,0.00%,0.00%,0,54.08%,40.61%,27.15%,22.89%
iOS Video Only,Solo Female Travel Hack 🌍📶 | Global Data + Work Number in SLYNUMBER #Shorts;https://www.youtube.com/watch?v=bIBxAwpZSsA,YouTube video,0,USD,2.77,0,0,0,0.00%,0.00%,0.00%,0,42.51%,29.16%,22.59%,19.71%
iOS Mexico,Tu privacidad es lo más importante SLYNUMBER puedes mantener tu número personal en secreto,Description,4,USD,18.9,4,0,0,10.53%,10.53%,0.00%,3.75,0,0,0,0
iOS Dominica republic,SLYNUMBER para redes sociales,Headline,4,USD,13.56,4,0,0,12.12%,12.12%,0.00%,7.77,0,0,0,0
IOS English SEA,Get a virtual phone number that actually works on your phone.,Description,30,USD,112.63,25,5,0,15.71%,13.09%,2.62%,6.36,0,0,0,0
iOS Dominica republic,Utilice SLYNUMBER para viajar;https://www.youtube.com/watch?v=N3gB8K5xTh0,YouTube video,11,USD,41.18,10,1,0,0.25%,0.22%,0.02%,0.71,58.22%,43.20%,30.72%,25.44%
IOS English India,Travel Smarter: Get Bank 2FA Anywhere ✈️📲 | SLYNUMBER #Shorts;https://www.youtube.com/watch?v=TuuOY2Z_h8Q,YouTube video,2,USD,4.02,2,0,0,0.14%,0.14%,0.00%,0.59,53.85%,45.43%,42.97%,32.05%
iOS Video Only,Best second phone number app,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Mexico,Disfruta tus citas con mayor seguridad y tranquilidad usando SLYNUMBER.,Description,0,USD,3.62,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English India,Virtual 2nd Phone Number,Headline,0,USD,0.6,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English India,Use SLYNUMBER for Privacy;https://www.youtube.com/watch?v=xoxwsWk3-2Y,YouTube video,0,USD,11.45,0,0,0,0.00%,0.00%,0.00%,0,42.24%,29.81%,19.95%,17.12%
Android Video Only,remove me2,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,SLYNUMBER is the easiest way to add a second mobile number to your phone for social media.,Description,2,USD,12.9,2,0,0,0.93%,0.93%,0.00%,0.37,0,0,0,0
IOS English India,Keep Your Personal Number Private 🔒 | SLYNUMBER Second Line #Shorts;https://www.youtube.com/watch?v=FdW7M4iEtIk,YouTube video,0,USD,1.3,0,0,0,0.00%,0.00%,0.00%,0,25.22%,17.85%,10.07%,3.28%
IOS English EU,Best Second Number App,Headline,11,USD,23.64,9,2,0,26.19%,21.43%,4.76%,7.96,0,0,0,0
iOS Colombia venzuela,Utilice SLYNUMBER para citas;https://www.youtube.com/watch?v=kT2L4Ohr_jY,YouTube video,0,USD,0.47,0,0,0,0.00%,0.00%,0.00%,0,46.49%,34.21%,24.56%,18.42%
iOS Colombia venzuela,Viajar es más fácil y seguro con SLYNUMBER. Obtén un número real,Description,2,USD,17.07,2,0,0,5.88%,5.88%,0.00%,2.66,0,0,0,0
IOS English India,SLYNUMBER is the easiest way to add a second mobile number to your phone,Description,1,USD,4.01,1,0,0,7.14%,7.14%,0.00%,3.37,0,0,0,0
IOS English India,One Number Worldwide 🌐📲 | SLYNUMBER eSIM + 2FA Fix #Shorts;https://www.youtube.com/watch?v=33xTMddnC5c,YouTube video,1,USD,7.01,1,0,0,0.06%,0.06%,0.00%,0.14,43.38%,28.07%,18.62%,14.28%
iOS Brazil,Baixe agora,Headline,0,USD,1.28,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Video Only,Sign‑Up Hack: Real Second Number in Seconds 🚀 | SLYNUMBER #Shorts;https://www.youtube.com/watch?v=HmKdwAXW8NM,YouTube video,1,USD,5.13,1,0,0,0.34%,0.34%,0.00%,0.97,40.72%,28.63%,21.00%,16.65%
iOS Video Only,SLYNUMBER is a virtual mobile number app that provides real phone numbers.,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,SLYNUMBER is a virtual mobile number app that provides real phone numbers.,Description,119,USD,501.77,102,17,0,16.04%,13.75%,2.29%,9.5,0,0,0,0
IOS English India,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=m0ux_1CpEYk,YouTube video,0,USD,4.79,0,0,0,0.00%,0.00%,0.00%,0,58.73%,50.42%,29.19%,7.46%
iOS Mexico,SLYNUMBER para vender en línea,Headline,3,USD,4.63,3,0,0,14.29%,14.29%,0.00%,7.19,0,0,0,0
iOS Video Only,Download now!,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Brazil,SLYNUMBER é a maneira mais fácil de adicionar um segundo número de celular ao seu telefone,Description,6,USD,52.31,5,1,0,3.64%,3.03%,0.61%,1.74,0,0,0,0
Android Video Only,Use SLYNUMBER for Travel;https://www.youtube.com/watch?v=waJjb7qDSiI,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Video Only,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=IttwrhMctR8,YouTube video,56,USD,338.43,43,13,0,1.55%,1.19%,0.36%,1.43,42.14%,28.87%,20.85%,13.11%
IOS English EU,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=IttwrhMctR8,YouTube video,10,USD,21.98,7,3,0,1.60%,1.12%,0.48%,0.23,53.85%,38.31%,30.34%,24.93%
iOS Dominica republic,Utilice SLYNUMBER para vender en línea;https://www.youtube.com/watch?v=EjrSHOr-qqY,YouTube video,0,USD,2.36,0,0,0,0.00%,0.00%,0.00%,0,54.91%,40.47%,28.28%,22.01%
iOS Brazil,baixe agora,Headline,0,USD,0.2,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English India,Use SLYNUMBER for Financial Accounts;https://www.youtube.com/watch?v=YDQRc-oFT98,YouTube video,0,USD,0.55,0,0,0,0.00%,0.00%,0.00%,0,20.79%,9.42%,6.46%,5.67%
iOS Video Only,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=hl40-Rlk7gE,YouTube video,108,USD,640.28,83,25,0,0.91%,0.70%,0.21%,1.43,71.41%,60.57%,45.13%,25.97%
iOS Dominica republic,Utilice SLYNUMBER para viajar;https://www.youtube.com/watch?v=eI0z4kgW_10,YouTube video,84,USD,324.02,73,11,0,0.07%,0.06%,0.01%,0.28,74.62%,66.07%,48.82%,43.86%
