Campaign,App asset,App asset type,Conversions,Currency code,Cost,Installs,In-app actions,View-through conv.,Conv. rate,Conv. rate (install),Conv. rate (in-app action),Installs per (1000) impressions,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%
IOS English EU,Use SLYNUMBER for Financial Accounts;https://www.youtube.com/watch?v=UTmS2k37pk0,YouTube video,7,USD,16.81,7,0,0,0.86%,0.86%,0.00%,1.77,45.50%,35.16%,22.70%,17.98%
IOS English SEA,Use SLYNUMBER for Financial Accounts;https://www.youtube.com/watch?v=UTmS2k37pk0,YouTube video,15,USD,65.12,12,3,0,0.18%,0.14%,0.04%,0.39,67.29%,58.03%,29.01%,22.76%
IOS English SEA,Use SLYNUMBER for Privacy;https://www.youtube.com/watch?v=xoxwsWk3-2Y,YouTube video,429,USD,1430.54,343,86,0,0.14%,0.11%,0.03%,0.2,41.34%,28.39%,18.12%,14.59%
iOS Brazil,Descarregar agora,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,Best Second Number App,Headline,3,USD,19.81,3,0,0,6.98%,6.98%,0.00%,2.87,0,0,0,0
iOS Spanish,activar cuentas financieras,Headline,25,USD,59.68,20,5,0,4.52%,3.62%,0.90%,2.02,0,0,0,0
IOS English India,Use SLYNUMBER for social media,Headline,0,USD,0.01,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English SEA,Ditch the Second Phone 📱💼 | SLYNUMBER Work Line on One Device #Shorts;https://www.youtube.com/watch?v=i8lKA7cv_sg,YouTube video,0,USD,14.45,0,0,0,0.00%,0.00%,0.00%,0,44.76%,27.34%,16.84%,7.46%
iOS Colombia venzuela,Utilice SLYNUMBER para las redes sociales;https://www.youtube.com/watch?v=OqEX9Xgm2FQ,YouTube video,21,USD,192.79,20,1,0,0.03%,0.03%,0.00%,0.1,65.21%,48.59%,34.55%,29.10%
iOS Mexico,Utilice SLYNUMBER para las redes sociales;https://www.youtube.com/watch?v=OqEX9Xgm2FQ,YouTube video,0,USD,1.34,0,0,0,0.00%,0.00%,0.00%,0,50.73%,37.56%,26.59%,21.83%
IOS English EU,SLYNUMBER is the easiest way to add a second mobile number to your phone for social media.,Description,13,USD,40.09,8,5,0,25.00%,15.38%,9.62%,5.47,0,0,0,0
IOS English EU,Use SLYNUMBER for Social Media;https://www.youtube.com/watch?v=xFWKb5uQEfA,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English EU,Use SLYNUMBER to sell online,Headline,1,USD,1.59,1,0,0,20.00%,20.00%,0.00%,5.43,0,0,0,0
iOS Dominica republic,Protege tu privacidad con SLYNUMBER. Obtén un número para verificar tus cuentas,Description,12,USD,49.01,9,3,0,12.63%,9.47%,3.16%,3.64,0,0,0,0
IOS English EU,SLYNUMBER is the easiest way to add a second mobile number to your phone,Description,411,USD,1631.67,322,89,0,18.70%,14.65%,4.05%,7.17,0,0,0,0
iOS Spanish,Utilice SLYNUMBER para viajar,Headline,43,USD,88.9,32,11,0,1.35%,1.00%,0.34%,0.75,0,0,0,0
iOS Mexico,Utilice SLYNUMBER para viajar,Headline,0,USD,2.21,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English EU,Use SLYNUMBER for Travel;https://www.youtube.com/watch?v=4hLsTNLcijI,YouTube video,0,USD,8.08,0,0,0,0.00%,0.00%,0.00%,0,40.69%,24.86%,14.22%,9.59%
iOS Mexico,Utilice SLYNUMBER para viajar;https://www.youtube.com/watch?v=N3gB8K5xTh0,YouTube video,0,USD,2.16,0,0,0,0.00%,0.00%,0.00%,0,43.38%,27.70%,18.63%,13.97%
iOS Video Only,Travel Hack: Global Data + U.S. Number in ONE App ✈️🌍 | SLYNUMBER #Shorts;https://www.youtube.com/watch?v=lPcQB1Koqzg,YouTube video,0,USD,0.34,0,0,0,0.00%,0.00%,0.00%,0,88.89%,77.78%,72.22%,55.56%
IOS English SEA,Use SLYNUMBER for Privacy;https://www.youtube.com/watch?v=ZmfWe56U5rA,YouTube video,112,USD,544.58,94,18,0,0.16%,0.14%,0.03%,0.17,31.72%,16.50%,10.27%,7.61%
IOS English SEA,Turn Off Work After Hours 📵 | SLYNUMBER Saves Your Sanity #shorts;https://www.youtube.com/watch?v=M66y_k57ryc,YouTube video,2,USD,13.78,2,0,0,0.03%,0.03%,0.00%,0.2,84.93%,71.81%,38.21%,15.29%
IOS English India,Best second phone number app,Headline,1,USD,3.94,1,0,0,8.33%,8.33%,0.00%,7.19,0,0,0,0
IOS English EU,Use SLYNUMBER for Selling Online;https://www.youtube.com/watch?v=pN0vH_ojwUI,YouTube video,2,USD,11.61,1,1,0,0.69%,0.34%,0.34%,1.05,55.19%,33.61%,18.63%,12.15%
IOS English SEA,Use SLYNUMBER for Financial Accounts;https://www.youtube.com/watch?v=YDQRc-oFT98,YouTube video,23,USD,99.37,18,5,0,0.19%,0.15%,0.04%,0.22,36.93%,21.18%,13.07%,10.06%
IOS English India,SLYNUMBER - Your Second Mobile Number;https://www.youtube.com/watch?v=hl40-Rlk7gE,YouTube video,0,USD,3.35,0,0,0,0.00%,0.00%,0.00%,0,51.75%,40.93%,29.15%,17.44%
iOS Brazil,SLYNUMBER para namoro,Headline,0,USD,5.5,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
IOS English India,Ditch the Second Phone 📱💼 | SLYNUMBER Work Line on One Device #Shorts;https://www.youtube.com/watch?v=i8lKA7cv_sg,YouTube video,0,USD,10.36,0,0,0,0.00%,0.00%,0.00%,0,64.48%,39.18%,23.52%,8.11%
iOS Colombia venzuela,Utilice SLYNUMBER para viajar;https://www.youtube.com/watch?v=eI0z4kgW_10,YouTube video,46,USD,207.18,44,2,0,0.05%,0.05%,0.00%,0.19,64.84%,54.49%,38.39%,33.91%
iOS Dominica republic,Utilice SLYNUMBER para citas;https://www.youtube.com/watch?v=ZMG_HcEbP28,YouTube video,6,USD,22.54,6,0,0,0.12%,0.12%,0.00%,0.53,78.99%,69.82%,46.05%,39.98%
IOS English India,Download now,Headline,0,USD,0.6,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Spanish,Tu privacidad es lo más importante SLYNUMBER puedes mantener tu número personal en secreto,Description,65,USD,219.55,54,11,0,8.43%,7.00%,1.43%,2.45,0,0,0,0
IOS English EU,Virtual 2nd Phone Number,Headline,134,USD,705.74,116,18,0,13.32%,11.53%,1.79%,9.65,0,0,0,0
iOS Video Only,SLYNUMBER is the easiest way to add a second mobile number to your phone for travel,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English India,Use SLYNUMBER for Financial Accounts;https://www.youtube.com/watch?v=UTmS2k37pk0,YouTube video,0,USD,0.03,0,0,0,0.00%,0.00%,0.00%,0,93.33%,73.33%,33.33%,20.00%
IOS English SEA,Use SLYNUMBER for Selling Online;https://www.youtube.com/watch?v=RXxereD46r0,YouTube video,131,USD,459.26,112,19,0,0.24%,0.21%,0.04%,0.48,46.71%,28.22%,18.43%,13.83%
IOS English India,Use SLYNUMBER for Selling Online;https://www.youtube.com/watch?v=RXxereD46r0,YouTube video,2,USD,12.42,2,0,0,0.08%,0.08%,0.00%,0.28,66.60%,52.76%,37.02%,31.78%
iOS Colombia venzuela,Utilice SLYNUMBER para viajar;https://www.youtube.com/watch?v=N3gB8K5xTh0,YouTube video,15,USD,76.98,14,1,0,0.15%,0.14%,0.01%,0.44,63.51%,39.87%,24.95%,18.06%
IOS English EU,Delete me 2,Headline,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,SLYNUMBER is the easiest way to add a second mobile number to your phone for financing app,Description,0,USD,2.34,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Dominica republic,SLYNUMBER para vender en línea,Headline,0,USD,5.33,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Brazil,Use SLYNUMBER para mídias sociais;https://www.youtube.com/watch?v=I6Pl0eD4BN8,YouTube video,0,USD,0.68,0,0,0,0.00%,0.00%,0.00%,0,27.25%,16.34%,11.31%,8.80%
IOS English India,Use SLYNUMBER for travel,Headline,0,USD,0.02,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
