Campaign,Campaign state,Campaign type,Country/Territory (User location),Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
Keywords,Enabled,Search,Finland,44,660,6.67%,USD,1.16,51.14,1,51.14,2.27%
Keywords,Enabled,Search,New Zealand,43,770,5.58%,USD,1.65,70.78,1,70.78,2.33%
IOS English SEA,Enabled,App,Japan,43,971,4.43%,USD,0.27,11.5,7,1.64,3.48%
Keywords,Enabled,Search,Denmark,42,558,7.53%,USD,1.63,68.3,0,0,0.00%
Performance Max,Enabled,Performance Max,Philippines,40,672,5.95%,USD,0.71,28.59,0,0,0.00%
Performance Max,Enabled,Performance Max,Mexico,38,530,7.17%,USD,1.42,53.99,0,0,0.00%
Performance Max,Enabled,Performance Max,Morocco,37,487,7.60%,USD,1.23,45.47,0,0,0.00%
Performance Max,Enabled,Performance Max,Romania,36,667,5.40%,USD,1.23,44.12,0,0,0.00%
Competitive keywords,Enabled,Search,Nigeria,35,511,6.85%,USD,1.29,45.24,1,45.24,2.86%
Performance Max,Enabled,Performance Max,Cameroon,34,292,11.64%,USD,0.62,21.1,0,0,0.00%
Performance Max,Enabled,Performance Max,Egypt,34,298,11.41%,USD,1.08,36.8,2,18.4,5.88%
Performance Max,Enabled,Performance Max,Kenya,34,538,6.32%,USD,0.76,25.77,0,0,0.00%
IOS English EU,Enabled,App,Poland,33,486,6.79%,USD,0.63,20.72,2,10.36,5.26%
iOS Video Only,Enabled,App,Angola,32,"1,358",2.36%,USD,0.06,1.8,2,0.9,0.33%
Performance Max,Enabled,Performance Max,Cambodia,31,333,9.31%,USD,0.71,22.1,0,0,0.00%
Performance Max,Enabled,Performance Max,Poland,31,381,8.14%,USD,0.92,28.47,0,0,0.00%
Performance Max,Enabled,Performance Max,Czechia,30,612,4.90%,USD,1.13,33.91,0,0,0.00%
IOS English EU,Enabled,App,Armenia,29,153,18.95%,USD,0.57,16.6,5,3.32,17.24%
Performance Max,Enabled,Performance Max,Thailand,28,337,8.31%,USD,1.51,42.38,0,0,0.00%
Performance Max,Enabled,Performance Max,Croatia,27,664,4.07%,USD,0.61,16.37,1,16.37,1.72%
Performance Max,Enabled,Performance Max,Spain,27,266,10.15%,USD,2.27,61.24,0,0,0.00%
iOS Video Only,Enabled,App,Brazil,26,"4,221",0.62%,USD,0.17,4.39,0,0,0.00%
Performance Max,Enabled,Performance Max,Belgium,26,483,5.38%,USD,1.99,51.73,0,0,0.00%
Performance Max,Enabled,Performance Max,United Arab Emirates,26,315,8.25%,USD,1.73,44.95,1,44.95,3.85%
Performance Max,Enabled,Performance Max,Brazil,25,341,7.33%,USD,1.61,40.19,1,40.19,4.00%
Performance Max,Enabled,Performance Max,Iraq,25,290,8.62%,USD,0.91,22.68,0,0,0.00%
Performance Max,Enabled,Performance Max,Canada,24,424,5.66%,USD,2.25,53.89,0,0,0.00%
Performance Max,Enabled,Performance Max,China,24,314,7.64%,USD,1.41,33.73,1,33.73,4.17%
Performance Max,Enabled,Performance Max,Norway,24,378,6.35%,USD,1.66,39.79,0,0,0.00%
IOS English EU,Enabled,App,Romania,24,514,4.67%,USD,0.62,14.88,4,3.72,16.67%
Performance Max,Enabled,Performance Max,Slovakia,23,424,5.42%,USD,0.84,19.25,0,0,0.00%
Performance Max,Enabled,Performance Max,New Zealand,22,539,4.08%,USD,1.11,24.39,0,0,0.00%
Performance Max,Enabled,Performance Max,Colombia,21,235,8.94%,USD,1.1,23.1,1,23.1,4.76%
Performance Max,Enabled,Performance Max,Ireland,20,450,4.44%,USD,1.13,22.67,0,0,0.00%
Performance Max,Enabled,Performance Max,Dominican Republic,19,254,7.48%,USD,1.61,30.61,0,0,0.00%
Performance Max,Enabled,Performance Max,Indonesia,19,256,7.42%,USD,1.04,19.77,0.5,39.54,2.63%
Performance Max,Enabled,Performance Max,Myanmar (Burma),19,183,10.38%,USD,0.89,16.96,0,0,0.00%
Performance Max,Enabled,Performance Max,Vietnam,19,310,6.13%,USD,1.15,21.76,0,0,0.00%
Performance Max,Enabled,Performance Max,South Africa,17,243,7.00%,USD,1.29,21.94,0,0,0.00%
Performance Max,Enabled,Performance Max,Switzerland,17,300,5.67%,USD,2.51,42.59,0,0,0.00%
Performance Max,Enabled,Performance Max,Cote d'Ivoire,15,148,10.14%,USD,0.46,6.9,0,0,0.00%
Performance Max,Enabled,Performance Max,Denmark,15,299,5.02%,USD,1.32,19.73,0,0,0.00%
Performance Max,Enabled,Performance Max,Saudi Arabia,15,189,7.94%,USD,1.29,19.34,0,0,0.00%
IOS English EU,Enabled,App,Iraq,15,"1,647",0.91%,USD,0.34,5.08,2,2.54,13.33%
IOS English EU,Enabled,App,Ukraine,15,254,5.91%,USD,0.45,6.77,0,0,0.00%
Competitive keywords,Enabled,Search,Mexico,14,97,14.43%,USD,2.23,31.17,0,0,0.00%
Performance Max,Enabled,Performance Max,Benin,14,137,10.22%,USD,0.42,5.9,0,0,0.00%
Performance Max,Enabled,Performance Max,Bulgaria,14,280,5.00%,USD,0.99,13.89,0,0,0.00%
Performance Max,Enabled,Performance Max,Hong Kong,14,224,6.25%,USD,0.99,13.91,0,0,0.00%
Performance Max,Enabled,Performance Max,Israel,14,139,10.07%,USD,2.2,30.86,0,0,0.00%
Performance Max,Enabled,Performance Max,Kosovo,14,143,9.79%,USD,0.86,11.98,0,0,0.00%
Performance Max,Enabled,Performance Max,Ukraine,14,339,4.13%,USD,1.38,19.35,0,0,0.00%
IOS English EU,Enabled,App,Algeria,14,110,12.73%,USD,0.55,7.68,1,7.68,7.14%
IOS English EU,Enabled,App,Bulgaria,14,214,6.54%,USD,0.54,7.51,4,1.88,28.57%
Competitive keywords,Enabled,Search,Pakistan,13,120,10.83%,USD,1.37,17.85,0,0,0.00%
Performance Max,Enabled,Performance Max,Cyprus,13,231,5.63%,USD,1.25,16.24,0,0,0.00%
Performance Max,Enabled,Performance Max,Hungary,13,191,6.81%,USD,0.93,12.11,0,0,0.00%
IOS English EU,Enabled,App,Benin,13,99,13.13%,USD,0.55,7.1,1,7.1,7.69%
IOS English EU,Enabled,App,Cote d'Ivoire,13,78,16.67%,USD,0.55,7.21,0,0,0.00%
Competitive keywords,Enabled,Search,Jamaica,12,121,9.92%,USD,3.31,39.69,1,39.69,8.33%
Performance Max,Enabled,Performance Max,Algeria,12,137,8.76%,USD,0.53,6.37,0,0,0.00%
Performance Max,Enabled,Performance Max,Austria,12,314,3.82%,USD,2.2,26.35,0,0,0.00%
Performance Max,Enabled,Performance Max,Lebanon,12,95,12.63%,USD,1.35,16.14,1,16.14,8.33%
Performance Max,Enabled,Performance Max,Malaysia,12,143,8.39%,USD,1.47,17.59,0,0,0.00%
