Campaign,Campaign state,Campaign type,Country/Territory (User location),Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
IOS English EU,Enabled,App,Republic of the Congo,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Saint Kitts and Nevis,0,3,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Saint Vincent and the Grenadines,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Seychelles,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Sierra Leone,0,2,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Sint Maarten,0,2,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Somalia,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Tajikistan,0,2,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Tanzania,0,10,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,The Bahamas,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Trinidad and Tobago,0,10,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Turkmenistan,0,1,0.00%,USD,0,0,0,0,0
IOS English EU,Enabled,App,Venezuela,0,5,0.00%,USD,0,0,0,0,0
iOS Spanish,Enabled,App,Spain,0,1,0.00%,USD,0,0,0,0,0
iOS Spanish,Enabled,App,United States,0,2,0.00%,USD,0,0,0,0,0
iOS Brazil,Enabled,App,Argentina,0,1,0.00%,USD,0,0,0,0,0
iOS Brazil,Enabled,App,France,0,1,0.00%,USD,0,0,0,0,0
iOS Brazil,Enabled,App,Japan,0,1,0.00%,USD,0,0,0,0,0
